Name,Description,Chat Count,Visibility,Category,Link
Artist Budget Guide,Helps artists create realistic budgets for their projects.,0 Chats,Everyone,,
Untitled,Sales platform advisor for 'Unleash Your Sales Greatness'.,Only me,,,
SongByrd,Your ultimate AI-powered songwriting assistant for hits.,0 Chats,Everyone,,
Elite Design Studio,"World-class logo designer crafting timeless symbols of power, influence, and innovation.",10+ Chats,Everyone,,
DCASE 312,Your AI-powered cultural engagement guide for DCASE resources.,0 Chats,Everyone,,
A&R Campaign Architect,"Elite A&R strategist for artist campaigns across blogs, playlists, venues, and licensing platforms.",2 Chats,Everyone,,
#1 System Instruction Architect,Setting the gold standard for AI system instruction design.,100+ Chats,Everyone,,
Artispreneur Email Generator,Generate emails for your music campaign,1 Chats,Everyone,,
PlaceCode,"Designs and optimizes web solutions with tailored scripts, seamless integrations, and deployment-ready assets.",10+ Chats,Everyone,,
AWS Career Coach,Guiding users to AWS career success with personalized roadmaps and expert insights.,Only me,,,
Horizon UI Copilot,Build and deploy sleek UIs for assistants using Horizon UI.,8 Chats,Everyone,,
AWS Cloud Resume Prep,Guides users through building AWS cloud resumes using best practices.,Only me,,,
Custom UI Chatbot Assistant,Configures CSS/HTML Templates and project files to match open ai assistant apis,7 Chats,Everyone,,
Omni Architect,Master problem solver and workflow designer across all domains.,3 Chats,Everyone,,
Sixth Automation,Expert automation assistant for Make.com and Softr scenarios.,0 Chats,Everyone,,
Artist Business Plan Generator,Guides artists in building tailored business plans and growth strategies.,2 Chats,Everyone,,
HouseofAshburn Executive Assistant,Luxury brand executive assistant driving strategic growth,1 Chats,Anyone with a link,,
My Smart Tax Advisor,Personalized U.S. tax assistant for entrepreneurs,6 Chats,Everyone,,
Image Sourcing Analyst,Extracts relevant image URLs from sites for visual content enhancement,3 Chats,Everyone,,
Pats Tap,"Your private entrepreneurial assistant, guiding and growing with you for all business tasks.",Only me,,,
RSS Assist,"Transforms RSS feeds into engaging, SEO-optimized blogs with ethical attribution and rich insights.",8 Chats,Everyone,,
NPAO Bot,Helps users prioritize and analyze tasks using N.P.A.O. for clarity and growth.,2 Chats,Everyone,,
The Tie Breaker,Builds a futuristic voting platform driven by AI and blockchain for smart governance.,Only me,,,
Ultimate Survival AI,Your definitive companion for mastering survival in any environment.,1 Chats,Everyone,,
Untitled,"Convert text into visual formats, automate creative workflows, and generate product videos.",Only me,,,
Sales Process Assistant,"AI assistant for seamless sales automation, CRM integration, and actionable sales insights.",10+ Chats,Everyone,,
Business Automation Guide,"Expert guide for automating business workflows and integrating tools like Softr, Zapier, and GPT.",7 Chats,Everyone,,
Untitled,"Expert in refining technical copy, creating processes, and crafting goal-oriented documents.",Only me,,,
Crime Tracker Chicago,"Real-time crime intelligence for Chicago with maps, reports, and predictive analytics.",4 Chats,Everyone,,
Outreach Automator,Automates email outreach tasks in HubSpot with personalized emails.,Only me,,,
Strategic Business Architect,"Expert guide for strategic growth, sales optimization, and business model innovation.",5 Chats,Everyone,,
AutomateGPT,Automate custom GPT creation based on Airtable data.,2 Chats,Everyone,,
Unstuck Master Plan GPT,Conversational AI coach guiding users step-by-step through the Power Assessment.,4 Chats,Anyone with a link,,
Business Audit,Dynamic business audit and strategic planning assistant.,10+ Chats,Everyone,,
GPT Configurator,"Creates detailed, formatted documents from GPT configurations.",10+ Chats,Everyone,,
BLK Heights Content Assistant,"Content assistant for BLK Heights, crafting dynamic, consistent, and comprehensive copy.",10+ Chats,Everyone,,
List Manager,Organizes and manages apartment listings with categorization and search tools.,4 Chats,Everyone,,
HUMINT,Simulates and teaches human intelligence skills focused on self-awareness and empathy.,10+ Chats,Everyone,,
Centralized Systems Assistant,"Assists systems teams with documentation, automation, troubleshooting, and programming tasks.",0 Chats,Anyone with a link,,
Untitled,,Only me,,,
Custom GPT Builder Guide,"A calm, expert assistant guiding you step-by-step to design, customize, and refine your perfect GPT.",1 Chats,Everyone,,
Compass GPT Builder,Helps users build custom GPTs,1 Chats,Everyone,,
Custom GPT Guide,A step-by-step tutorial guide for building custom GPTs.,1 Chats,Everyone,,
Untitled,,Only me,,,
Untitled,,Only me,,,
Full Stack Copilot,"Scaffolds components from user prompts using React, Tailwind, shadcn/ui, and full-stack logic.",0 Chats,Everyone,,
Untitled,Qualifies leads and supports AI sales workflows,Only me,,,
Untitled,,Only me,,,
Jobs to be Done,Transforms prompts and docs into AI-ready 'Jobs to Be Done' blueprints with guided flow.,1 Chats,Everyone,,
Untitled,,Only me,,,
Prayer Companion,"Transforms your worries into heartfelt, personalized prayers.",1 Chats,Everyone,,
Chatbot Guide Bot (Using Voice Flow),"Step-by-step chatbot builder using prompts and downloadable .vf files to help with (voiceflow, etc)",1 Chats,Everyone,,
People For GPT,"Mobilizes action to defend democracy, equity, and justice with People For the American Way.",0 Chats,Anyone with a link,,
Replit Builder,Formats and refines prompts for efficient Replit project building,2 Chats,Everyone,,
PromptBuilder Architect V2,"Breaks down app ideas into modular prompts for lovable.dev, tailored by plan tier",0 Chats,Everyone,,
PromptBuilder Architect,"Creates modular prompt sets for v0.dev, Cursor, and Replit apps with UI, backend, and deploy flows",50+ Chats,Everyone,,
Unstuck - Newsletter Assistant,"Creates bold, high-impact newsletters in Aaron Kolosik’s voice, using his podcast style.",3 Chats,Anyone with a link,,
Dropshipping AI Assistant,"World’s smartest dropshipping wizard—tariff-aware, globally optimized, fully automated.",2 Chats,Everyone,,
Untitled,,Only me,,,
GPT Project Instructions Builder,"The ultimate builder for elite, deployment-ready GPT Instructions and PRDs",20+ Chats,Everyone,,
KNO Builder,"Modernizes KNO project with scripts, UI, and optimizations.",Only me,,,
Dynamic GPT Project Generator,Generates GPT-based projects using PRD and UI inputs.,3 Chats,Everyone,,
Study Coach (for aws),AWS study coach focused on cloud concepts and certification prep,Only me,,,
Cloud Course Assistant,Your personal cloud study assistant,10+ Chats,Everyone,,
Project Structure Architect,Generates dynamic project structures from PRDs.,7 Chats,Everyone,,
(PRD) Product Requirements Document Builder,"Generates PRDs, instructions, and custom resources.",10+ Chats,Everyone,,
Untitled,,Only me,,,
Tax Assistant Pro GPT,Guide users through personal and business tax preparation.,1 Chats,Everyone,,
